id,parent_id,name
295,63,Grillpølser
296,5,Sennepssaus
297,199,Rengjøringsmiddel
298,177,Jordbærmelk
299,177,Helmelk
300,1,Frosne bær og grønnsaker
301,300,"Grønnsaker, frosne"
302,8,Creme Fraiche
303,22,Påsmurte baguetter
304,164,Mousse
305,43,Lammekjøtt
306,304,Sjokolademousse
307,305,Lammekoteletter
308,1,Krydderurter
309,308,Persille
310,13,Søtpålegg
311,310,Honning
312,70,Lungemos
313,,Dyr
314,313,Kattemat
315,159,Jordbær
316,118,Helsekost
317,316,Måltidsbar
318,1,Sopp
319,318,Sopp
320,13,Energibar
321,130,Tacosaus
322,19,Kittmodnetost
323,199,Vaskeredskaper
324,249,Gurkemeie
325,49,Vann
326,65,Hermetiske erter
327,63,Wienerpølser
328,199,Toalettpapir
329,57,Hamburgerdressing
330,11,Asparges
331,159,Blåbær
332,118,Hudpleie
333,332,Leppepomade
334,4,Ketchup og sennep
335,221,Snus
336,334,Sprøstekt løk
337,134,Tomatsuppe
338,199,WC-rens
339,164,Gele
340,65,Hermetisk mais
341,4,Matoljer
342,26,Iskaffe
343,341,Rapsolje
344,334,Sennep
345,36,Ciabatta
346,118,Personlig hygiene
347,346,Såper
348,13,Majones
349,13,Bacon
350,26,Kaffekapsler
351,173,Svinekjøtt strimlet
352,249,Muskat
353,156,Marsipankake
354,47,Kyllingfilet
355,150,Pepper
356,305,Lammelår
357,106,Ørret
358,300,"Frukt og bær, frosne"
359,316,Tran
360,134,Fiskesuppe
361,95,Bakepapir
362,142,Pastafigurer
363,173,Smårettskinke
364,171,Lighter
365,166,Baconsnacks
366,22,Pølsebrød
367,52,Tøymykner
368,308,Gressløk
369,209,Kreps
370,113,Leverpostei
371,5,Asiatiske sauser
372,199,Kluter
373,4,Kokosmelk
374,84,Panert fisk
375,346,Intimvask
376,13,Påleggsalat
377,4,Potetsalat
378,118,Barbering
379,378,Barberpleie
380,164,Dessertsauser
381,380,Jordbærsaus
382,26,Leskedrikk
383,156,Donuts
384,26,Iste
385,72,Gjær
386,177,Sjokolademelk
387,84,Surimi
388,70,Pytt i panne
389,134,Spinatsuppe
390,2,Fruktmiks
391,156,Havreflarn
392,43,Storfekjøtt
393,392,Biffstrimler
394,11,Bønner ferske
395,70,Pastarett ferdig
396,46,Kalkun
397,118,Bind og tamponger
398,397,Bind
399,82,Wienerbakst
400,199,Grønnsåpe
401,238,Spekepølser
402,22,Riskaker
403,164,Is
404,403,Dessertis
405,14,Roastbiff
406,134,Ertesuppe
407,106,Tunfisk
408,290,Tørkerull
409,346,Bomullspinner
410,156,Minibakkels
411,99,Kryddersmør
412,70,Løkringer
413,13,Syltetøy
414,2,Granatepler
415,72,Bakemixer
416,415,Rundstykkemix
417,246,Cheddar dip
418,310,Peanøttsmør
419,37,Frokostblanding
420,65,Surkål
421,153,Sukkerkulør
422,392,Mørbrad
